player,Team 
YBK Jaiswal,RR
JC Buttler,RR
SV Samson,RR
D Padikkal,RR
SO Hetmyer,RR
R Ashwin,RR
R Parag,RR
TA Boult,RR
OC McCoy,RR
WP Saha,GT
Shubman Gill,GT
MS Wade,GT
HH Pandya,GT
DA Miller,GT
V Kohli,RCB
F du Plessis,RCB
RM Patidar,RCB
GJ Maxwell,RCB
MK Lomror,RCB
KD Karthik,RCB
Shahbaz Ahmed,RCB
PWH de Silva,RCB
HV Patel,RCB
JR Hazlewood,RCB
Q de Kock,LSG
KL Rahul,LSG
M Vohra,LSG
DJ Hooda,LSG
MP Stoinis,LSG
E Lewis,LSG
KH Pandya,LSG
PVD Chameera,LSG
PK Garg,SRH
Abhishek Sharma,SRH
RA Tripathi,SRH
AK Markram,SRH
N Pooran,LSG
Washington Sundar,SRH
R Shepherd,LSG
J Suchith,
B Kumar,SRH
Umran Malik,SRH
JM Bairstow,PBKS
S Dhawan,PBKS
M Shahrukh Khan,PBKS
MA Agarwal,SRH
LS Livingstone,PBKS
JM Sharma,PBKS
PN Mankad,LSG
PP Shaw,DC
DA Warner,DC
MR Marsh,DC
RR Pant,DC
SN Khan,DC
R Powell,DC
AR Patel,DC
SN Thakur,KKR
Kuldeep Yadav,DC
Ishan Kishan,MI
RG Sharma,MI
D Brevis,MI
Tilak Varma,MI
TH David,MI
Ramandeep Singh,MI
DR Sams,LSG
RD Gaikwad,CSK
DP Conway,CSK
MM Ali,CSK
N Jagadeesan,KKR
AT Rayudu,CSK
MS Dhoni,CSK
Simarjeet Singh,CSK
MJ Santner,CSK
R Tewatia,GT
Rashid Khan,GT
VR Iyer,KKR
N Rana,KKR
A Tomar,
SS Iyer,KKR
SW Billings,
AD Russell,KKR
RK Singh,KKR
SP Narine,KKR
UT Yadav,KKR
KS Williamson,GT
T Stubbs,MI
R Sanjay Yadav,
JJ Bumrah,MI
Lalit Yadav,DC
PBB Rajapaksa,PBKS
Harpreet Brar,PBKS
R Dhawan,PBKS
RD Chahar,PBKS
K Rabada,PBKS
Arshdeep Singh,PBKS
JDS Neesham,
A Badoni,LSG
JO Holder,RR
Mohsin Khan,LSG
Avesh Khan,LSG
S Dube,CSK
AM Rahane,CSK
Shashank Singh,CSK
M Jansen,SRH
Mohammed Siraj,RCB
RV Uthappa,
DJ Bravo,CSK 
M Theekshana,CSK
Mukesh Choudhary,CSK
HR Shokeen,MI
HE van der Dussen,
KS Bharat,GT
KS Sharma,LSG
SP Jackson,
PJ Cummins,KKR
TG Southee,KKR
KA Pollard,
M Ashwin,RR
K Kartikeya,MI
RP Meredith,MI
RV Patel,DC
A Nortje,DC
KK Ahmed,DC
Kartik Tyagi,SRH
Fazalhaq Farooqi,SRH
B Indrajith,
AJ Finch,
AS Roy,KKR
Shivam Mavi,GT
Harshit Rana,KKR
SA Yadav,MI
B Sai Sudharsan,GT
Mandeep Singh,
SA Abbott,
S Gopal,
RA Jadeja,CSK
D Pretorius,CSK
PJ Sangwan,GT
LH Ferguson,KKR
AS Joseph,GT
KK Nair,
DJ Mitchell,
A Manohar,GT
M Prasidh Krishna,
SS Prabhudessai,RCB
MK Pandey,DC
JD Unadkat,LSG
Anuj Rawat,RCB
Yash Dayal,GT
NT Ellis,PBKS
VG Arora,KKR
Ravi Bishnoi,LSG
CV Varun,KKR
V Shankar,GT
P Simran Singh,PBKS
OF Smith,GT
FA Allen,RCB
TS Mills,
Aman Hakim Khan,DC
YS Chahal,RR
KR Sen,
Akash Deep,RCB
K Gowtham,LSG
Rasikh Salam,
CJ Jordan,
DJ Willey,RCB
SE Rutherford,
Abdul Samad,SRH
TL Seifert,
Mustafizur Rahman,DC
Navdeep Saini,
Anmolpreet Singh,SRH
RA Bawa,
NM Coulter-Nile,
EJG Morgan,
Shakib Al Hasan,
AB de Villiers,
DT Christian,
TK Curran,
SK Raina,
SS Tiwary,
J Yadav,GT
SPD Smith,
CH Morris,
C Sakariya,DC
JJ Roy,KKR
S Kaul,RCB
KA Jamieson,
AF Milne,
CH Gayle,
KM Jadhav,
GD Phillips,RR
Sandeep Sharma,RR
SM Curran,PBKS
DL Chahar,CSK
T Shamsi,
GHS Garton,
MC Henriques,
K Yadav,
PP Chawla,MI
Mohammad Nabi,
Sachin Baby,
DJ Malan,
Mohammed Shami,GT
Virat Singh,
KL Nagarkoti,DC
Harbhajan Singh,
Mujeeb Ur Rahman,
JA Richardson,
CR Woakes,
S Nadeem,
BA Stokes,CSK
CA Lynn,
SP Goswami,
Gurkeerat Singh,
AT Carey,
JC Archer,MI
SS Cottrell,
T Banton,
M Vijay,
SR Watson,
P Dubey,DC
JR Philippe,
T Natarajan,SRH
I Udana,
VR Aaron,
TU Deshpande,CSK
Imran Tahir,
AS Rajpoot,
DW Steyn,
NS Naik,
AJ Tye,
JL Pattinson,
DS Kulkarni,
MJ McClenaghan,
C Munro,
KMA Paul,
A Mishra,
I Sharma,DC
MJ Guptill,
Basil Thampi,
YK Pathan,
PA Patel,
C de Grandhomme,
STR Binny,
IS Sodhi,
CA Ingram,
H Klaasen,SRH
P Negi,
BB Sran,
AJ Turner,
DR Shorey,
CR Brathwaite,
AD Nath,
GC Viljoen,
Y Prithvi Raj,
KC Kariappa,RR
BCJ Cutting,
RK Bhui,
JL Denly,
SD Lad,
HF Gurney,
Yuvraj Singh,
MM Sharma,GT
GH Vihari,
S Lamichhane,
P Ray Barman,
M Markande,SRH
JPR Scantlebury-Searles,
MK Tiwary,
AD Hales,
Anureet Singh,
DJM Short,
P Chopra,
JP Duminy,
NV Ojha,
BB McCullum,
LE Plunkett,
MG Johnson,
CJ Anderson,
G Gambhir,
B Laughlin,
A Dananjaya,
B Stanlake,
R Vinay Kumar,
MA Wood,
LMP Simmons,
KV Sharma,RCB
IR Jaggi,
Bipul Sharma,
SL Malinga,
Vishnu Vinod,MI
TM Head,
MN Samuels,
Z Khan,
SE Marsh,
Swapnil Singh,LSG
DR Smith,
JP Faulkner,
Ankit Soni,
P Kumar,
MM Patel,
HM Amla,
S Aravind,
S Badree,
A Choudhary,
IK Pathan,
AR Bawne,
DM Bravo,CSK
AP Tare,
AD Mathews,
Ankit Sharma,
R Bhatia,
A Zampa,RR
AB Dinda,
Iqbal Abdulla,
ER Dwivedi,
R Sathish,
SB Jakati,
F Behardien,
KJ Abbott,
UT Khawaja,
GJ Bailey,
NLTC Perera,
M Morkel,
PV Tambe,
S Kaushik,
UBT Chand,
A Nehra,
PSP Handscomb,
A Ashish Reddy,
Parvez Rasool,
JA Morkel,
KP Pietersen,
KW Richardson,
P Sahu,
D Wiese,KKR
MEK Hussey,
MA Starc,
Azhar Mahmood,
BE Hendricks,
RS Bopara,
J Botha,
GB Hogg,
Karanveer Singh,
RN ten Doeschate,
NJ Maddinson,
V Sehwag,
J Theron,
DJ Muthuswami,
MS Bisla,
Noor Ahmad,DC
RR Rossouw,DC
AN Ahmed,
RG More,
DJG Sammy,
CM Gautam,
DJ Hussey,
PP Ojha,
BJ Hodge,
Y Venugopal Rao,
S Anirudha,
YV Takawale,
VH Zol,
S Rana,
KK Cooper,
VS Malik,
M de Lange,
Shivam Sharma,
WD Parnell,
LRPL Taylor,
R Shukla,
DH Yagnik,
M Manhas,
LR Shukla,
L Balaji,
JH Kallis,
BR Dunk,
CA Pujara,
R Rampaul,
AM Nayar,
S Badrinath,
R Dravid,
CL White,
BB Samantray,
P Dogra,
LJ Wright,
RV Gomez,
DPMD Jayawardene,
B Chipli,
BJ Rohrer,
AC Gilchrist,
SK Trivedi,
RE van der Merwe,
DB Das,
SMSM Senanayake,
SR Tendulkar,
MC Juneja,
AB Agarkar,
LA Pomersbach,
A Mithun,
M Kartik,
Harmeet Singh,
P Awana,
UA Birla,
M Rawat,
K Upadhyay,
MS Gony,
KC Sangakkara,
R McLaren,
PA Reddy,
BMAJ Mendis,
OA Shah,
TL Suman,
BAW Mendis,
R Sharma,
S Narwal,
B Lee,
A Mukund,
TM Dilshan,
KB Arun Karthik,
J Syed Mohammad,
X Thalaivan Sargunam,
AG Murtaza,
IC Pandey,
A Chandila,
S Sreesanth,
SW Tait,
PC Valthaty,
AD Mascarenhas,
RT Ponting,
AB McDonald,
RJ Harris,
DB Ravi Teja,
MDKJ Perera,
AL Menaria,
Sunny Gupta,
JEC Franklin,
RP Singh,
M Muralitharan,
P Parameswaran,
JD Ryder,
MJ Clarke,
SC Ganguly,
AP Majumdar,
CJ Ferguson,KKR
Harpreet Singh,PBKS
SD Chitnis,
N Saini,
HH Gibbs,
Y Nagar,
MD Mishra,
AC Thomas,
DJ Harris,
AA Jhunjhunwala,
AUK Pathan,
RJ Peterson,
AA Chavan,
V Pratap Singh,
RE Levi,
DL Vettori,
KMDN Kulasekara,
AC Blizzard,
DJ Jacobs,
CJ McKay,
M Kaif,
BA Bhatt,
RR Bhatkal,
A Singh,
DAJ Bracewell,
DE Bollinger,
Y Gnaneswara Rao,
JJ van der Wath,
CK Langeveldt,
S Sohal,
FY Fazal,
PR Shah,
JDP Oram,
SK Warne,
ND Doshi,
S Sriram,
JR Hopes,
TR Birt,
MJ Lumb,
A Symonds,
MV Boucher,
AS Raut,
SJ Srivastava,
M Klinger,
RR Powar,
Sunny Singh,
L Ablish,
I Malhotra,
GC Smith,
SB Wagh,
NL McCullum,
B Akhil,
TD Paine,
JE Taylor,
VVS Laxman,
BJ Haddin,
Joginder Sharma,
S Randiv,
SA Asnodkar,
AG Paunikar,
R Ninan,
NJ Rimmington,
SB Styris,
ML Hayden,
CRD Fernando,
Anirudh Singh,
B Sumanth,
A Kumble,
WPUJC Vaas,
PD Collingwood,
AC Voges,
Pankaj Singh,
C Madan,
KP Appanna,
ST Jayasuriya,
AP Dole,
MF Maharoof,
AB Barath,
T Thushara,
RS Sodhi,
AA Bilakhia,
Jaskaran Singh,
K Goel,
KAJ Roach,
S Ladda,
DP Nannes,
JM Kemp,
DR Martyn,
RS Gavaskar,
SE Bond,
A Uniyal,
S Tyagi,
YA Abdulla,
Mohammad Ashraful,
SM Katich,
WA Mota,
RJ Quiney,
NK Patel,
T Henderson,
Yashpal Singh,
SS Shaikh,
Mashrafe Mortaza,
C Nanda,
Shoaib Ahmed,
AN Ghosh,
LA Carseldine,
MN van Wyk,
SM Harwood,
L Ronchi,
RR Raje,
W Jaffer,
D du Preez,
R Bishnoi,LSG
TM Srivastava,
GR Napier,
FH Edwards,
SB Bangar,
A Flintoff,
T Kohli,
A Chopra,
Kamran Khan,
S Vidyut,
CK Kapugedera,
Kamran Akmal,
Sohail Tanvir,
Mohammad Asif,
VY Mahesh,
GD McGrath,
AS Yadav,
Shahid Afridi,
SP Fleming,
SM Pollock,
Salman Butt,
Umar Gul,
Misbah-ul-Haq,
LPC Silva,
M Ntini,
VS Yeligati,
Mohammad Hafeez,
DJ Thornely,
H Das,
DNT Zoysa,
J Arunkumar,
DT Patil,
Abdur Razzak,
Shoaib Malik,
Shoaib Akhtar,
PM Sarvesh Kumar,
DP Vijaykumar,
Younis Khan,
D Salunkhe,
T Taibu,
RR Sarwan,
VRV Singh,
U Kaul,
S Chanderpaul,
D Kalyankrishna,
MA Khote,
SB Joshi,
DS Lehmann,
AA Noffke,
R Sai Kishore,GT
M Pathirana,CSK
PH Solanki,CSK
DG Nalkande,GT
IC Porel,
AU Rashid,SRH
S Sandeep Warrier,
Akash Singh,CSK
KM Asif,RR
L Ngidi,DC
LI Meriwala,
Jalaj S Saxena,
Monu Kumar,
CJ Green,
K Khejroliya,KKR
O Thomas,
JP Behrendorff,MI
SC Kuggeleijn,
S Midhun,
CJ Dala,
MJ Henry,
NB Singh,
SS Agarwal,
Tejas Baroka,
SM Boland,
JW Hastings,
GS Sandhu,
P Suyal,
K Santokie,
BW Hilfenhaus,
Anand Rajan,
MG Neser,
TP Sudhindra,
RW Price,
SS Mundhe,
P Prasanth,
AM Salvi,
AA Kazi,
MB Parmar,
C Ganapathy,
RA Shaikh,
SS Sarkar,
RR Bose,
B Geeves,
A Nel,
Gagandeep Singh,
P Amarnath,
Harry Brook,SRH
Joe Root,RR
Cameron Green,MI
Sikandar Raza,PBKS
Litton Das,KKR
Kusal Mendis,
Phil Salt,DC
Reece Topley,RCB
Akeal Hosein,SRH
Shubham Khajuria,
Rohan Kunnummal,
Chethan L.R.,
Shaik Rasheed,CSK
Saurabh Kumar,
Vivrant Sharma,SRH
Nishant Sindhu,CSK
Sanvir Singh,SRH
Samarth Vyas,SRH
Dinesh Bana,
Abhimanyu Easwaran,
Sumit Kumar,
Upendra Singh Yadav,SRH
Mukesh Kumar,DC
Lance Morris,
Yash Thakur,LSG
Mujtaba Yousuf,
Chintal Gandhi,
Izharulhuq Naveed,
Himanshu Sharma,RCB
Subhranshu Senapati,CSK
Will Jacks,
Paul Stirling,
Dasun Shanaka,GT
Taskin Ahmed,
Blessing Muzarabani,
Johnson Charles,
Andre Fletcher,
Shai Hope,
Tom Latham,
Ben Mcdermott,
Lorcan Tucker,
Pukhraj Mann,
Akshat Raghuwanshi,
Himanshu Rana,
Shoun Roger,
Will Smeed,
Manoj Bhandage,RCB
Gerald Coetzee,
Duan Jansen,
Evan Jones,
Abid Mushtaq,
Suryansh Shedge,
Akash Vashisht,RR
Donovan Ferreira,RR
Urvil Patel,GT
Kirant Shinde,
Vishnu Solanki,
Vidwath Kaverappa,PBKS
Rajan Kumar,RCB
Ravi Kumar,
Arzan Nagwaswalla,
Akash Singh,MI
Paul Van Meekeren,
Vyshak Vijay Kumar,
S.Ajith Ram,
Satyajeet Bachhav,
Yuvraj Chudasama,
Peter Hatzoglou,
Karthik Meiyappan,
Suyash Sharma,KKR
Shivam Sharma,
Reeza Hendricks,
Christiaan Jonker,
Brandon King,
Pathum Nissaanka,
Harry Tector,
Najibullah Zadran,
Qais Ahmad,
Charith Asalanka,
Michael Bracewell,RCB
Jamie Overton,
Richard Gleeson,
Naveen Ul Haq,
Lahiru Kumara,
Joshua Little,GT
Dilshan Madushanka,
Luke Wood,
Priyansh Arya,
Matthew Breetzke,
Shivam Chauhan,
Rahul Gahlaut,
Sudip Gharami,
Amandeep Khare,
Bhanu Pania,
Ekant Sen,
Himanshu Bisht,
Mickil Jaiswal,
G.Aniketh Reddy,
Atit Sheth,
Tanay Thyagarajann,
Sumeet Verma,
Ajitesh Guruswamy,
Yash Kothari,
Suresh Kumar,
Kumar Kushagra,
Anmol Malhotra,
Robin Minz,
Agniv Pan,
Priyesh Patel,
Mitesh Patel,
Abishek Porel,DC
Nitish Kumar Reddy,SRH
Bharat Sharma,
Vivek Singh,
Basit Bashir,
Nandre Burger,
Sakib Hussain,
Waseem Khanday,
Ravi Kiran Majeti,
Anuj Raj,
Avinash Singh,RCB
Prince Yadav,
Mushtaq Beg,
Rocky Bhasker,
Sanjith Devaraj,
Raghav Goyal,MI
Allah Mohammad,
Lalit Mohan,
Bhuwan Rohilla,
Aman Sharma,
Manav Suthar,
Afif Hossain,
Sisanda Magala,CSK
Craig Overton,
Dhananjaya Silva,
Dunith Wellalage,
Daryn Dupavillon,
David Payne,
Glenton Stuurman,
Anirudh Balachander,
Gourav Choudhary,
Saurav Chuahan,
Kumar Deobrat,
Chirag Gandhi,
Madhav Kaushik,
Priyank Panchal,
Ayush Pandey,
Rohan Patil,
Sanjay Ramaswamy,
Siddharth Yadav,
Rehan Ahmed,
Vaisakh Chandran,
Harsh Dubey,
Tanush Kotian,
Ninad Rathva,
B. Surya,
Jordan Thompson,
Shivank Vashisth,
Christopher Benjamin,
Connor Esterhuizen,
Mohd Arslan Khan,
Mamidi Krishna,
Fazil Makaya,
Kunal Rathore,
Ateev Saini,
Bipin Saurabh,
B.R. Sharath,
Yashovardhan Singh,
Lakshay Thareja,
Mohit Avasthi,
Ottneil Baartman,
Gurnoor Singh Brar,
Shahrukh Dar,
Thomas Helm,
Venkatesh Muralidhara,
Geet Puri,
E. Sanketh,
Ajay Sarkar,
Ashok Sharma,
Kanwar Singh,
Roston Chase,
Rahkeem Cornwall,
Karim Janat,
Keshav Maharaj,
Shivam Chaudhary,
Ashwin Das,
James Fuller,
Chirag Jani,
Akshay Karnewar,
Bhagmender Lather,
Lone Muzaffar,
Pulkit Narang,
Rohit Rayudu,
Sameer Rizvi,
Tunish Sawkar,
Sonu Yadav,RCB
Auqib Dar,
Mukhtar Hussain,
Ashwani Kumar,
Hemant Kumar,
Nathan McAndrew,
Rajesh Mohanty,
Ravi Sharma,
Vikash Singh,
Ruben Trumpelmann,
Koushik Vasuki,
Vasu Vats,
Shubham Agrawal,
Anshul Kamboj,
Azim Kazi,
Dev Lakra,
Ajay Mandal,CSK
Abdul P A,RR
Jitender Pal,
Ritwik Roy Chowdhury,
Shubham Singh,
Avneesh Sudha,
Asad Jamil Ahmed,
Aashish Bhatt,
McKenny Clarke,
Shubham Kapse,
Gourav Koul,
Raunak Kumar,
Trilok Nag,
Atal Bihari Rai,
Ramon Simmonds,
Rajeev Singh,
Mohd. Wasim,
Atharva Ankolekar,
Khizar Dafedar,
Naman Dhir,
Sahil Dhiwan,
Sampark Gupta,
Jordan Hermann,
Hayden Kerr,
Salman Khan,
Sairaj Patil,
Divyaansh Saxena,
Purnank Tyagi,
Deepraj Gaonkar,
Deepesh Nailwal,
Arjun Rapria,
Shashwat Rawat,
Sumit Ruikar,
Rajandeep Singh,
Anunay Singh,
Digvesh Singh,
Pranshu Vijayran,
Prerit Dutta,
Ramakrishna Ghosh,
Shubhang Hegde,
Shamshuzama Kazi,
Ayaz Khan,
Amit Pachhara,
Akul Pandove,
Mohit Rathee,PBKS
Garv Sangwan,
Shubham Sharma,
Nehal Wadhera,MI
Amit Yadav,
Amit Ali,
Rishabh Chauhan,
Matthew Forde,
Sammar Gajjar,
Rajneesh Gurbani,
Divyansh Joshi,
Dhruv Patel,
Jack Prestwidge,
Aditya Sarvate,
Mayank Dagar,SRH
Sagar Solanki,
Prenelan Subrayen,
Bhagath Verma,CSK
Rajvardhan Hangargekar,CSK
Mayank Yadav,LSG
Rahmanullah Gurbaz,KKR
Kyle Mayers,LSG
Yudhvir Singh,LSG
Arjun Tendulkar,MI
Arshad Khan,MI
Shams Mulani,MI
Matthew Short,PBKS
Baltej Singh,PBKS
Atharva Taide,PBKS
Shivam Singh,PBKS
Dhruv Jurel,RR